# Sprite Sheet Atlas: raven-fantasy-64x64-spritesheet.png
# Total sprites: 2192
# Sheet size: 3008x3008
# Icon size: 64x64
# Format: name\tx\ty\twidth\theight
fc1	0	0	64	64
fc2	64	0	64	64
fc3	128	0	64	64
fc4	192	0	64	64
fc5	256	0	64	64
fc6	320	0	64	64
fc7	384	0	64	64
fc8	448	0	64	64
fc9	512	0	64	64
fc10	576	0	64	64
fc11	640	0	64	64
fc12	704	0	64	64
fc13	768	0	64	64
fc14	832	0	64	64
fc15	896	0	64	64
fc16	960	0	64	64
fc17	1024	0	64	64
fc18	1088	0	64	64
fc19	1152	0	64	64
fc20	1216	0	64	64
fc21	1280	0	64	64
fc22	1344	0	64	64
fc23	1408	0	64	64
fc24	1472	0	64	64
fc25	1536	0	64	64
fc26	1600	0	64	64
fc27	1664	0	64	64
fc28	1728	0	64	64
fc29	1792	0	64	64
fc30	1856	0	64	64
fc31	1920	0	64	64
fc32	1984	0	64	64
fc33	2048	0	64	64
fc34	2112	0	64	64
fc35	2176	0	64	64
fc36	2240	0	64	64
fc37	2304	0	64	64
fc38	2368	0	64	64
fc39	2432	0	64	64
fc40	2496	0	64	64
fc41	2560	0	64	64
fc42	2624	0	64	64
fc43	2688	0	64	64
fc44	2752	0	64	64
fc45	2816	0	64	64
fc46	2880	0	64	64
fc47	2944	0	64	64
fc48	0	64	64	64
fc49	64	64	64	64
fc50	128	64	64	64
fc51	192	64	64	64
fc52	256	64	64	64
fc53	320	64	64	64
fc54	384	64	64	64
fc55	448	64	64	64
fc56	512	64	64	64
fc57	576	64	64	64
fc58	640	64	64	64
fc59	704	64	64	64
fc60	768	64	64	64
fc61	832	64	64	64
fc62	896	64	64	64
fc63	960	64	64	64
fc64	1024	64	64	64
fc65	1088	64	64	64
fc66	1152	64	64	64
fc67	1216	64	64	64
fc68	1280	64	64	64
fc69	1344	64	64	64
fc70	1408	64	64	64
fc71	1472	64	64	64
fc72	1536	64	64	64
fc73	1600	64	64	64
fc74	1664	64	64	64
fc75	1728	64	64	64
fc76	1792	64	64	64
fc77	1856	64	64	64
fc78	1920	64	64	64
fc79	1984	64	64	64
fc80	2048	64	64	64
fc81	2112	64	64	64
fc82	2176	64	64	64
fc83	2240	64	64	64
fc84	2304	64	64	64
fc85	2368	64	64	64
fc86	2432	64	64	64
fc87	2496	64	64	64
fc88	2560	64	64	64
fc89	2624	64	64	64
fc90	2688	64	64	64
fc91	2752	64	64	64
fc92	2816	64	64	64
fc93	2880	64	64	64
fc94	2944	64	64	64
fc95	0	128	64	64
fc96	64	128	64	64
fc97	128	128	64	64
fc98	192	128	64	64
fc99	256	128	64	64
fc100	320	128	64	64
fc101	384	128	64	64
fc102	448	128	64	64
fc103	512	128	64	64
fc104	576	128	64	64
fc105	640	128	64	64
fc106	704	128	64	64
fc107	768	128	64	64
fc108	832	128	64	64
fc109	896	128	64	64
fc110	960	128	64	64
